1991,1992,1993,1994,1995,1996,1997
308,1438,15300,134200,302600,654800,812200
294,2004,19100,144700,321000,684400,821200
337,2726,23600,164800,361500,745000,902900
373,3052,30600,171400,386200,746500,901100
438,3675,37500,183500,429900,779300,919700
493,5067,47400,207500,480600,837200,993200
541,5452,56000,221000,499500,842800,999000
548,5876,65400,232800,520600,831000,982000
613,7379,80900,253200,564500,848100,1026000
703,8853,93000,265000,594500,843300,760000
839,10576,101500,281600,615700,835000,760000
1195,16071,141200,354200,735500,1017000,760000
